,vcf_code,ques_class
0,
1,
2,VCF0004
3,VCF0006
4,VCF0006a
5,VCF0009x
6,VCF0009y
7,VCF0009z
8,VCF0010x
9,VCF0010y
10,VCF0010z
11,VCF0011x
12,VCF0011y
13,VCF0011z
14,VCF0012
15,VCF0013
16,VCF0014
17,VCF0015a
18,VCF0015b
19,VCF0016
20,VCF0017
21,VCF0018a
22,VCF0018b
23,VCF0019
24,VCF0050a
25,VCF0050b
26,VCF0070a
27,VCF0070b
28,VCF0071a
29,VCF0071b
30,VCF0071c
31,VCF0071d
32,VCF0072a
33,VCF0072b
34,VCF0101
35,VCF0102
36,VCF0103
37,VCF0104
38,VCF0105a
39,VCF0105b
40,VCF0106
41,VCF0107
42,VCF0108
43,VCF0109
44,VCF0110
45,VCF0111
46,VCF0112
47,VCF0113
48,VCF0114
49,VCF0115
50,VCF0116
51,VCF0117
52,VCF0118
53,VCF0119
54,VCF0120
55,VCF0121
56,VCF0122
57,VCF0123
58,VCF0124
59,VCF0125
60,VCF0126
61,VCF0126a
62,VCF0126b
63,VCF0126c
64,VCF0127,1
65,VCF0127a,1
66,VCF0127b,1
67,VCF0128
68,VCF0128a
69,VCF0128b
70,VCF0129
71,VCF0130
72,VCF0130a
73,VCF0131
74,VCF0132
75,VCF0133
76,VCF0134
77,VCF0135
78,VCF0136
79,VCF0137
80,VCF0138
81,VCF0138a
82,VCF0138b
83,VCF0138c
84,VCF0138d
85,VCF0138e
86,VCF0139
87,VCF0140
88,VCF0140a
89,VCF0141
90,VCF0142
91,VCF0143
92,VCF0144
93,VCF0145
94,VCF0146
95,VCF0147
96,VCF0148
97,VCF0148a
98,VCF0149
99,VCF0150
100,VCF0151
101,VCF0152
102,VCF0153a
103,VCF0153b
104,VCF0153c
105,VCF0154a
106,VCF0154b
107,VCF0155
108,VCF0156
109,VCF0157
110,VCF0170a
111,VCF0170b
112,VCF0170c
113,VCF0170d
114,
115,VCF0201,1
116,VCF0202,-1
117,VCF0203
118,VCF0204
119,VCF0205
120,VCF0206
121,VCF0207
122,VCF0208
123,VCF0209,-1
124,VCF0210,1
125,VCF0211,1
126,VCF0212,-1
127,VCF0213,-1
128,VCF0214,-1
129,VCF0215,+1
130,VCF0216,+1
131,VCF0217
132,VCF0218,+1
133,VCF0219
134,VCF0220,+1
135,VCF0221,0
136,VCF0222
137,VCF0223,+1
138,VCF0224,-1
139,VCF0225
140,VCF0226
141,VCF0227
142,VCF0228
143,VCF0229
144,VCF0230
145,VCF0231
146,VCF0232
147,VCF0233
148,VCF0234
149,VCF0235
150,VCF0236
151,VCF0253
152,VCF0290
153,VCF0291
154,VCF0301
155,VCF0302
156,VCF0303
157,VCF0305
158,VCF0306
159,VCF0307
160,VCF0308
161,VCF0309
162,VCF0310
163,VCF0311
164,VCF0312
165,VCF0313
166,VCF0314
167,VCF0315
