Version,str
VCF0486a,float
VCF0486b,float
VCF0486c,float
VCF0486d,float
VCF0487,float
VCF0488a,float
VCF0488b,float
VCF0488c,float
VCF0488d,float
VCF0489a,float
VCF0489b,float
VCF0489c,float
VCF0489d,float
VCF0490a,float
VCF0490b,float
VCF0490c,float
VCF0490d,float
VCF0491a,float
VCF0491b,float
VCF0491c,float
VCF0491d,float
VCF0492a,float
VCF0492b,float
VCF0492c,float
VCF0492d,float
VCF0493,float
VCF0494a,float
VCF0494b,float
VCF0494c,float
VCF0494d,float
VCF0495a,float
VCF0495b,float
VCF0495c,float
VCF0495d,float
VCF0496a,float
VCF0496b,float
VCF0496c,float
VCF0496d,float
VCF0497a,float
VCF0497b,float
VCF0497c,float
VCF0497d,float
VCF0498a,float
VCF0498b,float
VCF0498c,float
VCF0498d,float
VCF0501,float
VCF0502,float
VCF0502a,float
VCF0503,float
VCF0504,float
VCF0507,float
VCF0508,float
VCF0509,float
VCF0512,float
VCF0513,float
VCF0514,float
VCF0517,float
VCF0518,float
VCF0521,float
VCF0521a,float
VCF0522,float
VCF0523,float
VCF0524,float
VCF0525,float
VCF0528,float
VCF0529,float
VCF0533,float
VCF0534,float
VCF0537,float
VCF0538,float
VCF0541,float
VCF0542,float
VCF0545,float
VCF0546,float
VCF0549,float
VCF0550,float
VCF0601,float
VCF0602,float
VCF0603,float
VCF0604,float
VCF0605,float
VCF0606,float
VCF0607,float
VCF0608,float
VCF0609,float
VCF0610,float
VCF0611,float
VCF0612,float
VCF0613,float
VCF0614,float
VCF0615,float
VCF0616,float
VCF0617,float
VCF0618,float
VCF0619,float
VCF0620,float
VCF0621,float
VCF0622,float
VCF0623,float
VCF0624,float
VCF0625,float
VCF0626,float
VCF0627,float
VCF0628,float
VCF0629,float
VCF0630,float
VCF0631,float
VCF0632,float
VCF0633,float
VCF0634,float
VCF0640,float
VCF0648,float
VCF0649,float
VCF0650,float
VCF0651,float
VCF0652,float
VCF0653,float
VCF0654,float
VCF0655,float
VCF0656,float
VCF0675,float
VCF0700,float
VCF0701,float
VCF0702,float
VCF0703,float
VCF0704,float
VCF0704a,float
VCF0705,float
VCF0706,float
VCF0707,float
VCF0708,float
VCF0709,float
VCF0710,float
VCF0711,float
VCF0712,float
VCF0713,float
VCF0714,float
VCF0715,float
VCF0716,float
VCF0717,float
VCF0718,float
VCF0719,float
VCF0720,float
VCF0721,float
VCF0722,float
VCF0723,float
VCF0723a,float
VCF0724,float
VCF0725,float
VCF0726,float
VCF0727,float
VCF0728,float
VCF0729,float
VCF0730,float
VCF0731,float
VCF0732,float
VCF0733,float
VCF0734,float
VCF0735,float
VCF0736,float
